,id,cooperation
0,13-141,0.0
0,13-75614,0.0
0,13-125113,0.0
0,141-75614,0.0
0,141-125113,0.0
0,75614-125113,0.0
0,13-127469,0.0
0,13-182399,0.0
0,141-127469,0.0
0,141-182399,0.0
0,125113-127469,0.0
0,125113-182399,0.0
0,127469-182399,0.0
0,150-185807,0.0
0,150-172351,0.0
0,150-156952,0.0
0,156952-172351,0.0
0,150-150491,0.0
0,150491-156952,0.0
0,150-78123,0.0
0,78123-185807,0.0
0,150-11219,0.0
0,150-79373,4.0
0,11219-79373,0.0
0,150-183203,0.0
0,150-182399,0.0
0,150491-172351,0.0
0,150491-182399,0.0
0,172351-182399,0.0
0,150491-183203,0.0
0,172351-183203,0.0
0,182399-183203,0.0
0,156952-182399,0.0
0,156952-183203,0.0
0,150491-185807,0.0
0,150-127469,0.0
0,1046-69337,2.0
0,1046-105457,2.0
0,69337-105457,33.0
0,1046-10547,2.0
0,1046-25159,0.0
0,10547-25159,0.0
0,10547-69337,43.0
0,10547-105457,37.0
0,25159-69337,0.0
0,25159-105457,0.0
0,2622-33389,0.0
0,2622-74644,0.0
0,2622-76245,1.0
0,33389-74644,6.0
0,33389-76245,3.0
0,74644-76245,4.0
0,2622-70971,1.0
0,2622-108163,0.0
0,70971-74644,12.0
0,70971-76245,12.0
0,70971-108163,11.0
0,74644-108163,3.0
0,76245-108163,1.0
0,4117-90277,0.0
0,8350-112817,0.0
0,8350-41781,3.0
0,41781-112817,0.0
0,8824-115748,0.0
0,8824-176548,0.0
0,115748-176548,0.0
0,10286-93993,0.0
0,10401-11834,2.0
0,11023-14574,2.0
0,11023-25260,2.0
0,14574-25260,0.0
0,11023-25813,0.0
0,25260-25813,0.0
0,11023-121857,0.0
0,14574-25813,0.0
0,14574-121857,0.0
0,25260-121857,0.0
0,25813-121857,0.0
0,11023-72124,0.0
0,25260-72124,0.0
0,12318-12694,1.0
0,12318-66607,70.0
0,12318-69799,3.0
0,12318-76286,0.0
0,12318-76289,20.0
0,12318-76292,0.0
0,12318-94183,0.0
0,12318-159850,0.0
0,12318-159862,0.0
0,12318-162617,0.0
0,12318-165707,0.0
0,12318-185931,0.0
0,12318-185935,0.0
0,12318-185937,0.0
0,12694-66607,3.0
0,12694-69799,0.0
0,12694-76286,0.0
0,12694-76289,0.0
0,12694-76292,0.0
0,12694-94183,0.0
0,12694-159850,0.0
0,12694-159862,0.0
0,12694-162617,0.0
0,12694-165707,0.0
0,12694-185931,0.0
0,12694-185935,0.0
0,12694-185937,0.0
0,66607-69799,3.0
0,66607-76286,0.0
0,66607-76289,27.0
0,66607-76292,0.0
0,66607-94183,0.0
0,66607-159850,0.0
0,66607-159862,0.0
0,66607-162617,0.0
0,66607-165707,0.0
0,66607-185931,0.0
0,66607-185935,0.0
0,66607-185937,0.0
0,69799-76286,0.0
0,69799-76289,2.0
0,69799-76292,0.0
0,69799-94183,0.0
0,69799-159850,0.0
0,69799-159862,0.0
0,69799-162617,0.0
0,69799-165707,0.0
0,69799-185931,0.0
0,69799-185935,0.0
0,69799-185937,0.0
0,76286-76289,0.0
0,76286-76292,0.0
0,76286-94183,0.0
0,76286-159850,0.0
0,76286-159862,0.0
0,76286-162617,0.0
0,76286-165707,0.0
0,76286-185931,0.0
0,76286-185935,0.0
0,76286-185937,0.0
0,76289-76292,0.0
0,76289-94183,0.0
0,76289-159850,0.0
0,76289-159862,0.0
0,76289-162617,0.0
0,76289-165707,0.0
0,76289-185931,0.0
0,76289-185935,0.0
0,76289-185937,0.0
0,76292-94183,0.0
0,76292-159850,0.0
0,76292-159862,0.0
0,76292-162617,0.0
0,76292-165707,0.0
0,76292-185931,0.0
0,76292-185935,0.0
0,76292-185937,0.0
0,94183-159850,0.0
0,94183-159862,0.0
0,94183-162617,0.0
0,94183-165707,0.0
0,94183-185931,0.0
0,94183-185935,0.0
0,94183-185937,0.0
0,159850-159862,0.0
0,159850-162617,0.0
0,159850-165707,0.0
0,159850-185931,0.0
0,159850-185935,0.0
0,159850-185937,0.0
0,159862-162617,0.0
0,159862-165707,0.0
0,159862-185931,0.0
0,159862-185935,0.0
0,159862-185937,0.0
0,162617-165707,0.0
0,162617-185931,0.0
0,162617-185935,0.0
0,162617-185937,0.0
0,165707-185931,0.0
0,165707-185935,0.0
0,165707-185937,0.0
0,185931-185935,0.0
0,185931-185937,0.0
0,185935-185937,0.0
0,12694-145010,0.0
0,12694-159861,0.0
0,12694-185932,0.0
0,66607-145010,0.0
0,66607-159861,0.0
0,66607-185932,0.0
0,69799-145010,0.0
0,69799-159861,0.0
0,69799-185932,0.0
0,76286-145010,0.0
0,76286-159861,0.0
0,76286-185932,0.0
0,76289-145010,0.0
0,76289-159861,0.0
0,76289-185932,0.0
0,76292-145010,0.0
0,76292-159861,0.0
0,76292-185932,0.0
0,145010-159861,0.0
0,145010-159862,0.0
0,145010-162617,0.0
0,145010-185931,0.0
0,145010-185932,0.0
0,145010-185937,0.0
0,159861-159862,0.0
0,159861-162617,0.0
0,159861-185931,0.0
0,159861-185932,0.0
0,159861-185937,0.0
0,159862-185932,0.0
0,162617-185932,0.0
0,185931-185932,0.0
0,185932-185937,0.0
0,94183-145010,0.0
0,94183-185932,0.0
0,145010-165707,0.0
0,145010-185935,0.0
0,165707-185932,0.0
0,185932-185935,0.0
0,13966-170619,0.0
0,13966-16695,0.0
0,16106-16193,1.0
0,16106-94211,5.0
0,16193-94211,1.0
0,16974-169654,0.0
0,21387-37033,0.0
0,24083-51421,0.0
0,72124-121857,0.0
0,25813-72124,0.0
0,27003-169951,0.0
0,33389-70971,6.0
0,33389-108163,0.0
0,36462-184050,0.0
0,39479-46396,1.0
0,39479-180422,0.0
0,46396-180422,0.0
0,41781-121998,0.0
0,41781-122025,0.0
0,41781-122029,0.0
0,41781-122054,0.0
0,121998-122025,0.0
0,121998-122029,0.0
0,121998-122054,0.0
0,122025-122029,0.0
0,122025-122054,0.0
0,122029-122054,0.0
0,41781-122004,0.0
0,122004-122054,0.0
0,41781-144205,0.0
0,121998-144205,0.0
0,122054-144205,0.0
0,121998-122004,0.0
0,122025-144205,0.0
0,41781-122043,0.0
0,112817-122004,0.0
0,112817-122043,0.0
0,122004-122043,0.0
0,41781-180397,0.0
0,121998-180397,0.0
0,122004-122025,0.0
0,122004-144205,0.0
0,122004-180397,0.0
0,122025-180397,0.0
0,144205-180397,0.0
0,41781-122044,0.0
0,121998-122044,0.0
0,122004-122044,0.0
0,122044-180397,0.0
0,51894-90277,14.0
0,53280-145152,0.0
0,53280-151537,0.0
0,145152-151537,0.0
0,53451-53967,0.0
0,53451-68561,0.0
0,53967-68561,0.0
0,53451-68728,0.0
0,53451-68997,0.0
0,53451-69275,0.0
0,53451-81864,1.0
0,53967-68728,0.0
0,53967-68997,0.0
0,53967-69275,0.0
0,53967-81864,0.0
0,68561-68728,0.0
0,68561-68997,0.0
0,68561-69275,0.0
0,68561-81864,0.0
0,68728-68997,0.0
0,68728-69275,0.0
0,68728-81864,0.0
0,68997-69275,0.0
0,68997-81864,0.0
